,brand,year
47,Suzuki,2006
50,Suzuki,2006
99,Suzuki,2010
648,Suzuki,2015
677,Suzuki,2010
679,Suzuki,2010
878,Suzuki,2013
910,Suzuki,2013
985,Suzuki,2012
1119,Suzuki,2005
1120,Suzuki,2005
1135,Suzuki,2005
1171,Suzuki,2009
1251,Suzuki,2009
1325,Suzuki,2009
1326,Suzuki,2009
1327,Suzuki,2009
1330,Suzuki,2009
1333,Suzuki,2009
1358,Suzuki,2003
1359,Suzuki,2003
1375,Suzuki,2005
1434,Suzuki,1995
1442,Suzuki,2002
1457,Suzuki,2000
1472,Suzuki,2000
1497,Suzuki,2005
1511,Suzuki,2005
1513,Suzuki,2005
1524,Suzuki,2005
1525,Suzuki,2005
1531,Suzuki,2005
1537,Suzuki,2005
1542,Suzuki,2005
1545,Suzuki,2005
1608,Suzuki,2005
1692,Suzuki,2005
1859,Suzuki,2005
1896,Suzuki,2005
1902,Suzuki,2005
1938,Suzuki,2005
1950,Suzuki,2000
1967,Suzuki,2015
1968,Suzuki,2005
1969,Suzuki,2016
2014,Suzuki,2013
2076,Suzuki,1999
2129,Suzuki,2015
2159,Suzuki,2008
2177,Suzuki,2013
2186,Suzuki,2000
2194,Suzuki,1999
2237,Suzuki,2000
2254,Suzuki,1998
2271,Suzuki,1997
2338,Suzuki,2015
2344,Suzuki,2014
2350,Suzuki,2018
2361,Suzuki,2013
2406,Suzuki,2002
2415,Suzuki,2010
2422,Suzuki,2010
2462,Suzuki,2010
2478,Suzuki,2014
2566,Suzuki,2015
2574,Suzuki,2015
2576,Suzuki,2017
2597,Suzuki,2014
2610,Suzuki,2014
2631,Suzuki,2014
2663,Suzuki,2012
2724,Suzuki,2009
2726,Suzuki,2005
2841,Suzuki,1999
2864,Suzuki,2017
2923,Suzuki,2016
2957,Suzuki,2005
3084,Suzuki,1997
3119,Suzuki,2005
3169,Suzuki,2010
3185,Suzuki,2009
3308,Suzuki,2013
3329,Suzuki,2009
3388,Suzuki,2009
3408,Suzuki,2016
3417,Suzuki,1999
3498,Suzuki,2003
3514,Suzuki,2014
3581,Suzuki,2009
3586,Suzuki,2008
3616,Suzuki,2014
3634,Suzuki,2014
3641,Suzuki,2013
3669,Suzuki,2013
3677,Suzuki,1999
3706,Suzuki,1995
3712,Suzuki,2009
3713,Suzuki,2013
3721,Suzuki,2005
3765,Suzuki,2013
3772,Suzuki,2014
3776,Suzuki,2014
3779,Suzuki,1991
3803,Suzuki,2010
3849,Suzuki,1999
3883,Suzuki,1999
3931,Suzuki,2010
3955,Suzuki,2013
4002,Suzuki,2000
4015,Suzuki,2015
4069,Suzuki,2017
4111,Suzuki,2015
4135,Suzuki,2013
4151,Suzuki,1999
4191,Suzuki,2013
4240,Suzuki,2005
4252,Suzuki,2013
4262,Suzuki,1999
4289,Suzuki,2010
4354,Suzuki,2009
4401,Suzuki,2010
4414,Suzuki,1999
4426,Suzuki,2009
4541,Suzuki,2015
4556,Suzuki,2010
4558,Suzuki,2014
4568,Suzuki,2016
4664,Suzuki,2013
4673,Suzuki,2013
4679,Suzuki,2013
4837,Suzuki,2008
4911,Suzuki,2015
4913,Suzuki,1999
4922,Suzuki,1998
4967,Suzuki,2002
4988,Suzuki,1991
5043,Suzuki,2012
5056,Suzuki,2015
5058,Suzuki,2014
5088,Suzuki,2009
5106,Suzuki,1999
5123,Suzuki,2017
5127,Suzuki,2008
5196,Suzuki,2013
5226,Suzuki,2015
5243,Suzuki,2010
5262,Suzuki,2010
5284,Suzuki,2007
5291,Suzuki,2013
5292,Suzuki,2015
5304,Suzuki,2010
5329,Suzuki,1999
5350,Suzuki,2013
5351,Suzuki,2013
5355,Suzuki,2013
5489,Suzuki,2016
5551,Suzuki,2000
5571,Suzuki,2002
5575,Suzuki,2005
5612,Suzuki,2014
5619,Suzuki,2013
5628,Suzuki,1999
5629,Suzuki,1999
5647,Suzuki,2013
5707,Suzuki,2005
5739,Suzuki,2010
5797,Suzuki,2017
5799,Suzuki,2002
5818,Suzuki,2014
5845,Suzuki,2005
5883,Suzuki,2002
5912,Suzuki,2014
5946,Suzuki,2013
5948,Suzuki,1994
5967,Suzuki,2014
5984,Suzuki,1994
6008,Suzuki,2018
6098,Suzuki,2013
6258,Suzuki,2005
6261,Suzuki,2012
6277,Suzuki,2009
6303,Suzuki,2017
6305,Suzuki,1999
6333,Suzuki,2001
6354,Suzuki,2005
6370,Suzuki,1999
6442,Suzuki,2014
6450,Suzuki,2000
6501,Suzuki,2010
6504,Suzuki,1999
6517,Suzuki,2013
6528,Suzuki,2005
6554,Suzuki,2005
6563,Suzuki,2005
6573,Suzuki,2005
6577,Suzuki,2005
6602,Suzuki,1997
6609,Suzuki,2005
6613,Suzuki,2013
6643,Suzuki,2013
6653,Suzuki,2015
6654,Suzuki,2018
6672,Suzuki,2006
